issn|area|titulo|estrato|classificacao
0971-4693|INTERDISCIPLINAR|Allelopathy Journal|B1|Atualizada em 2012
1676-3262|INTERDISCIPLINAR|Almanaque CIFEFIL|B5|Atualizada em 2012
1981-5433|INTERDISCIPLINAR|Almanaque Unigranrio de Pesquisa|B4|Atualizada em 2012
0100-1655|INTERDISCIPLINAR|Alter: Revista de Estudos Psicanalíticos|B4|Atualizada em 2012
0188-7017|INTERDISCIPLINAR|Alteridades (El Parque)|C|Atualizada em 2012
0328-8064|INTERDISCIPLINAR|Alternativas. Serie: Espacio Pedagógico|B4|Atualizada em 2012
1026-2253|INTERDISCIPLINAR|Alternatives Sud|C|Atualizada em 2012
0893-0341|INTERDISCIPLINAR|Alzheimer Disease and Associated Disorders|A2|Atualizada em 2012
1552-5260|INTERDISCIPLINAR|Alzheimer's & Dementia|A1|Atualizada em 2012
0084-5841|INTERDISCIPLINAR|AMA. Agricultural Mechanization in Asia, Africa and Latin America|B2|Atualizada em 2012
0102-0471|INTERDISCIPLINAR|AMAE Educando|B5|Atualizada em 2012
1981-2159|INTERDISCIPLINAR|Amatra XX|C|Atualizada em 2012
1809-4058|INTERDISCIPLINAR|Amazônia (Banco da Amazônia. 2005)|B5|Atualizada em 2012
1517-252X|INTERDISCIPLINAR|Amazônia em Cadernos|B3|Atualizada em 2012
1984-6215|INTERDISCIPLINAR|Amazônica: Revista de Antropologia|B2|Atualizada em 2012
2176-0675|INTERDISCIPLINAR|Amazônica: Revista de Antropologia|B2|Atualizada em 2012
1517-3127|INTERDISCIPLINAR|Amazônida (UFAM)|B3|Atualizada em 2012
1808-0251|INTERDISCIPLINAR|Ambiência (UNICENTRO)|B2|Atualizada em 2012
1413-8638|INTERDISCIPLINAR|Ambiente & Educação|B3|Atualizada em 2012
1809-4422|INTERDISCIPLINAR|Ambiente & Sociedade|B1|Atualizada em 2012
1678-8621|INTERDISCIPLINAR|Ambiente Construído|B1|Atualizada em 2012
1415-8876|INTERDISCIPLINAR|Ambiente Construído (São Paulo. Impresso)|B1|Atualizada em 2012
1414-753X|INTERDISCIPLINAR|Ambiente e Sociedade (Campinas)|B1|Atualizada em 2012
0121-7607|INTERDISCIPLINAR|Ambiente y Desarrollo|C|Atualizada em 2012
0044-7447|INTERDISCIPLINAR|Ambio (Oslo)|A2|Atualizada em 2012
1510-3722|INTERDISCIPLINAR|AMBIOS-Cultura Ambiental|B5|Atualizada em 2012
1518-0360|INTERDISCIPLINAR|Âmbito Jurídico|C|Atualizada em 2012
0002-6980|INTERDISCIPLINAR|Ambix (Cambridge)|B2|Atualizada em 2012
1390-1230|INTERDISCIPLINAR|America Latina en Movimiento|B3|Atualizada em 2012
1130-2887|INTERDISCIPLINAR|América Latina Hoy|A2|Atualizada em 2012
0002-7294|INTERDISCIPLINAR|American Anthropologist|A1|Atualizada em 2012
0002-7316|INTERDISCIPLINAR|American Antiquity|A1|Atualizada em 2012
0002-7812|INTERDISCIPLINAR|American Ceramic Society Bulletin|B2|Atualizada em 2012
0094-0496|INTERDISCIPLINAR|American Ethnologist|A2|Atualizada em 2012
1557-4989|INTERDISCIPLINAR|American Journal of Agricultural and Biological Sciences|B4|Atualizada em 2012
0002-9092|INTERDISCIPLINAR|American Journal of Agricultural Economics|A2|Atualizada em 2012
1558-6332|INTERDISCIPLINAR|American Journal of Biochemistry and Biotechnology|B2|Atualizada em 2012
1526-5161|INTERDISCIPLINAR|American Journal of Bioethics|A2|Atualizada em 2012
0002-9122|INTERDISCIPLINAR|American Journal of Botany|A1|Atualizada em 2012
0002-9173|INTERDISCIPLINAR|American Journal of Clinical Pathology|A2|Atualizada em 2012
1062-3264|INTERDISCIPLINAR|American Journal of Critical Care|B1|Atualizada em 2012
0002-9262|INTERDISCIPLINAR|American Journal of Epidemiology|A1|Atualizada em 2012
1545-7214|INTERDISCIPLINAR|American Journal of Geriatric Psychiatry|A2|Atualizada em 2012
1042-0533|INTERDISCIPLINAR|American Journal of Human Biology|A2|Atualizada em 2012
0002-9297|INTERDISCIPLINAR|American Journal of Human Genetics|A1|Atualizada em 2012
0895-7061|INTERDISCIPLINAR|American Journal of Hypertension|A2|Atualizada em 2012
0196-6553|INTERDISCIPLINAR|American Journal of Infection Control|A2|Atualizada em 2012
0148-7299|INTERDISCIPLINAR|American Journal of Medical Genetics|B1|Atualizada em 2012
1552-4825|INTERDISCIPLINAR|American Journal of Medical Genetics. Part A|A2|Atualizada em 2012
0195-6108|INTERDISCIPLINAR|American Journal of Neuroradiology|A2|Atualizada em 2012
0002-9378|INTERDISCIPLINAR|American Journal of Obstetrics and Gynecology|A2|Atualizada em 2012
0889-5406|INTERDISCIPLINAR|American Journal of Orthodontics and Dentofacial Orthopedics|B1|Atualizada em 2012
0735-1631|INTERDISCIPLINAR|American Journal of Perinatology|B2|Atualizada em 2012
0002-9483|INTERDISCIPLINAR|American Journal of Physical Anthropology|A2|Atualizada em 2012
